,open,high,low,close,volume,datetime,date
0,542.1,545.49,537.51,539.7,1449089,1424239200000,2015-02-18 06:00:00
1,538.84,543.11,538.01,542.87,987478,1424325600000,2015-02-19 06:00:00
2,543.41,543.75,535.8,538.95,1441212,1424412000000,2015-02-20 06:00:00
3,536.05,536.439,529.41,531.91,1453907,1424671200000,2015-02-23 06:00:00
4,530.0,536.79,528.25,536.09,1002393,1424757600000,2015-02-24 06:00:00
5,535.9,546.22,535.445,543.87,1821041,1424844000000,2015-02-25 06:00:00
6,542.71,556.14,541.5,555.48,2305219,1424930400000,2015-02-26 06:00:00
7,554.24,564.71,552.9,558.4,2403553,1425016800000,2015-02-27 06:00:00
8,560.1,572.15,558.75,571.34,2123796,1425276000000,2015-03-02 06:00:00
9,570.45,575.39,566.52,573.64,1700084,1425362400000,2015-03-03 06:00:00
10,571.87,577.11,568.01,573.37,1871694,1425448800000,2015-03-04 06:00:00
11,575.02,577.91,573.41,575.33,1385818,1425535200000,2015-03-05 06:00:00
12,575.0,576.6799,566.76,567.685,1654561,1425621600000,2015-03-06 06:00:00
13,566.86,570.27,563.535,568.85,1059336,1425877200000,2015-03-09 05:00:00
14,562.73047,563.32886,553.23611,553.51536,1792183,1425963600000,2015-03-10 05:00:00
15,556.19,558.14,550.68,551.18,1815763,1426050000000,2015-03-11 05:00:00
16,553.83,556.37,550.46,555.51,1385772,1426136400000,2015-03-12 05:00:00
17,553.5,558.4,544.22,547.32,1698872,1426222800000,2015-03-13 05:00:00
18,551.16,556.85,546.0,554.51,1636493,1426482000000,2015-03-16 05:00:00
19,551.13,553.8,548.0,550.84,1800570,1426568400000,2015-03-17 05:00:00
20,551.25,559.78,547.0001,559.5,2128714,1426654800000,2015-03-18 05:00:00
21,558.35,560.8,556.145,557.99,1194049,1426741200000,2015-03-19 05:00:00
22,561.65,561.72,559.05,560.36,2609690,1426827600000,2015-03-20 05:00:00
23,560.43,562.36,555.83,558.81,1639306,1427086800000,2015-03-23 05:00:00
24,562.56,574.59,561.21,570.19,2576234,1427173200000,2015-03-24 05:00:00
25,570.5,572.26,558.74,558.785,2146384,1427259600000,2015-03-25 05:00:00
26,557.21,558.9,550.65,555.17,1568331,1427346000000,2015-03-26 05:00:00
27,553.0,555.28,548.13,548.34,1892323,1427432400000,2015-03-27 05:00:00
28,551.62,553.47,548.17,552.03,1283958,1427691600000,2015-03-30 05:00:00
29,550.2,554.71,546.72,548.0,1583677,1427778000000,2015-03-31 05:00:00
30,548.6,551.14,539.5,542.56,1957718,1427864400000,2015-04-01 05:00:00
31,540.85,540.85,533.8467,535.53,1711737,1427950800000,2015-04-02 05:00:00
32,532.22,538.41,529.57,536.765,1320767,1428296400000,2015-04-06 05:00:00
33,538.08,542.69,536.0,537.02,1299298,1428382800000,2015-04-07 05:00:00
34,538.38,543.85,538.38,541.61,1175332,1428469200000,2015-04-08 05:00:00
35,541.48,541.95,535.49,540.78,1553586,1428555600000,2015-04-09 05:00:00
36,542.29,542.29,537.31,540.01,1405574,1428642000000,2015-04-10 05:00:00
37,538.39,544.06,537.31,539.17,1640809,1428901200000,2015-04-13 05:00:00
38,536.38,537.5699,528.0925,530.39,2597043,1428987600000,2015-04-14 05:00:00
39,528.7,534.73,523.22,532.53,2312512,1429074000000,2015-04-15 05:00:00
40,529.9,535.59,529.61,533.8,1296304,1429160400000,2015-04-16 05:00:00
41,527.46,529.84,521.01,524.05,2145955,1429246800000,2015-04-17 05:00:00
42,524.18456,534.64631,523.08752,533.93822,1680011,1429506000000,2015-04-20 05:00:00
43,537.51,539.39,533.675,533.97,1839668,1429592400000,2015-04-21 05:00:00
44,534.03,541.08,531.75,539.365,1589248,1429678800000,2015-04-22 05:00:00
45,540.55,550.96,540.23,547.0,4173376,1429765200000,2015-04-23 05:00:00
46,566.1,571.14,557.25,565.06,4919031,1429851600000,2015-04-24 05:00:00
47,563.88,565.95,553.2001,555.37,2398039,1430110800000,2015-04-27 05:00:00
48,553.59,556.02,550.366,553.68,1490983,1430197200000,2015-04-28 05:00:00
49,550.47,553.68,546.905,549.08,1698761,1430283600000,2015-04-29 05:00:00
50,547.87,548.59,535.05,537.34,2082214,1430370000000,2015-04-30 05:00:00
51,538.97,539.54,532.1,537.9,1768181,1430456400000,2015-05-01 05:00:00
52,538.94,544.07,535.06,540.78,1307960,1430715600000,2015-05-04 05:00:00
53,538.21,539.74,530.3906,530.8,1383068,1430802000000,2015-05-05 05:00:00
