,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,1,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,2642000000000,25.42,85.35,0.66%,4736623
1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,312000000000,-,16.7,4.51%,8690833
3,4,AACG,ATA Creativity Global,Services,Education & Training Services,China,3164000000,-,1.17,-9.30%,29248
5,6,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,1279000000000,7.45,28.33,-1.05%,7994531
6,7,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,3110000000,-,19.56,30.40%,71261
7,8,AAME,Atlantic American Corporation,Financial,Life Insurance,USA,4997000000,-,2.44,-5.06%,50
8,9,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,378000000000,19.16,56.15,-2.43%,1059448
9,10,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,26032000000,-,12.08,2.81%,978148
10,11,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,294000000000,59.83,57.14,2.51%,85736
11,12,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,978000000000,19.91,140.12,-1.19%,1014953
12,13,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,141564000000000,25.56,323.62,1.45%,23139659
13,14,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,271000000000,56.97,45.52,-1.13%,223863
14,15,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,4891000000,-,0.45,2.08%,262249
15,16,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,76735000000,2.82,29.68,7.58%,941720
17,18,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,531000000000,340.61,88.9,1.82%,549512
18,19,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,352000000000,14.35,35.69,0.99%,459798
19,20,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,5341000000000,52.09,24.43,1.12%,1306439
20,21,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,14115000000000,42.16,94.14,0.57%,6310999
21,22,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,1962000000000,30.87,95.13,0.87%,914595
22,23,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,284000000000,14.19,40.42,0.50%,226901
23,24,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,33179000000,-,4.08,16.57%,4362410
25,26,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,5773000000000,20.85,3.67,1.10%,14003781
26,27,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,194000000000,10.33,98.90,2.59%,176387
27,28,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,816000000,-,5.20,-2.80%,86075
28,29,ABM,ABM Industries Incorporated,Services,Business Services,USA,260000000000,20.32,38.82,0.31%,209426
29,30,ABMD,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,746000000000,31.50,167.90,-0.65%,618042
30,31,ABR,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,164000000000,10.58,14.66,-0.95%,1220922
32,33,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,15830000000000,44.19,89.36,0.54%,3462928
33,34,ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,77408000000,15.33,37.65,0.29%,61957
34,35,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,19885000000,-,3.27,-3.82%,461048
35,36,AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,96842000000,-,43.80,1.91%,9933
36,37,ACA,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,220000000000,18.50,44.76,-4.05%,383819
37,38,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,718000000000,-,45.84,0.88%,746968
38,39,ACAM,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,30863000000,-,10.10,-0.20%,41248
40,41,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,191000000000,7.92,1.71,4.27%,23408586
