No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,26.42B,25.42,85.35,0.66%,4736623
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,3.12B,-,16.7,4.51%,8690833
3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,16.09,0.63%,80109
4,AACG,ATA Creativity Global,Services,Education & Training Services,China,31.64M,-,1.17,-9.30%,29248
5,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,57.5,1.75%,14385
6,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,12.79B,7.45,28.33,-1.05%,7994531
7,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,31.10M,-,19.56,30.40%,71261
8,AAME,Atlantic American Corporation,Financial,Life Insurance,USA,49.97M,-,2.44,-5.06%,50
9,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,3.78B,19.16,56.15,-2.43%,1059448
10,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,260.32M,-,12.08,2.81%,978148
11,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.94B,59.83,57.14,2.51%,85736
12,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,9.78B,19.91,140.12,-1.19%,1014953
13,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1415.64B,25.56,323.62,1.45%,23139659
14,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,2.71B,56.97,45.52,-1.13%,223863
15,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,48.91M,-,0.45,2.08%,262249
16,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,767.35M,2.82,29.68,7.58%,941720
17,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,73.08,0.69%,491963
18,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,5.31B,340.61,88.9,1.82%,549512
19,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,3.52B,14.35,35.69,0.99%,459798
20,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,53.41B,52.09,24.43,1.12%,1306439
21,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,141.15B,42.16,94.14,0.57%,6310999
22,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,19.62B,30.87,95.13,0.87%,914595
23,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,2.84B,14.19,40.42,0.50%,226901
24,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,331.79M,-,4.08,16.57%,4362410
25,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,25.09,0.42%,2600
26,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,57.73B,20.85,3.67,1.10%,14003781
27,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.94B,10.33,98.90,2.59%,176387
28,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,8.16M,-,5.20,-2.80%,86075
29,ABM,ABM Industries Incorporated,Services,Business Services,USA,2.60B,20.32,38.82,0.31%,209426
30,ABMD,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,7.46B,31.50,167.90,-0.65%,618042
31,ABR,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,1.64B,10.58,14.66,-0.95%,1220922
32,ABR-PB,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,-,-,-,-,0
33,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,158.30B,44.19,89.36,0.54%,3462928
34,ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,774.08M,15.33,37.65,0.29%,61957
35,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,198.85M,-,3.27,-3.82%,461048
36,AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,968.42M,-,43.80,1.91%,9933
37,ACA,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,2.20B,18.50,44.76,-4.05%,383819
38,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.18B,-,45.84,0.88%,746968
39,ACAM,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,308.63M,-,10.10,-0.20%,41248
40,ACAMU,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,698.15M,-,10.32,-4.00%,700
41,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,1.91B,7.92,1.71,4.27%,23408586
42,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,439.20M,16.61,20.0,0.65%,38703
43,ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,6.55B,62.03,47.64,-0.94%,822143
44,ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,957.22M,8.87,9.5,-1.35%,354156
45,ACEL,"Accel Entertainment, Inc.",Services,Gaming Activities,USA,977.51M,-,13.03,0.15%,132263
46,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,51.00M,-,5.09,2.93%,97305
47,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,43.52,5.76%,195972
48,ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,19.60B,12.43,48.18,0.61%,1077597
49,ACGLO,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,10.68B,6.85,26.51,-0.66%,13268
50,ACGLP,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,10.39B,6.66,25.79,-0.81%,35510
51,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.96B,93.85,7.32,0.27%,35502
52,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,3.10B,-,34.79,2.11%,433994
53,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,10.44M,-,0.51,-1.99%,666423
54,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.83B,103.57,68.67,-0.20%,316573
55,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,25.25,0.36%,2824
56,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,573.61M,11.44,8.56,2.64%,172731
57,ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,3.90B,48.82,34.03,2.38%,713711
58,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,914.67M,55.74,27.98,0.61%,231755
59,ACM,AECOM,Services,Technical Services,USA,8.06B,-,50.75,7.43%,4865982
60,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,718.96M,43.72,39.92,-4.57%,1383371
61,ACN,Accenture plc,Technology,Information Technology Services,Ireland,141.87B,28.81,215.92,1.01%,1782388
