,Filings,URLs,Filing Date
0,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1018724/000110465920018677/0001104659-20-018677-index.htm,2020-02-12
1,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1018724/000083423720004702/0000834237-20-004702-index.htm,2020-02-05
2,IRANNOTICE,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000006/0001018724-20-000006-index.htm,2020-01-31
3,10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.htm,2020-01-31
4,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000002/0001018724-20-000002-index.htm,2020-01-30
5,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1018724/000119312520014349/0001193125-20-014349-index.htm,2020-01-24
6,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1018724/000119312520014331/0001193125-20-014331-index.htm,2020-01-24
7,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1018724/000119312520014284/0001193125-20-014284-index.htm,2020-01-24
8,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000093/0001018724-19-000093-index.htm,2019-11-19
9,IRANNOTICE,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000091/0001018724-19-000091-index.htm,2019-10-25
10,10-Q,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000089/0001018724-19-000089-index.htm,2019-10-25
11,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000087/0001018724-19-000087-index.htm,2019-10-24
12,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000081/0001018724-19-000081-index.htm,2019-08-01
13,IRANNOTICE,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000073/0001018724-19-000073-index.htm,2019-07-26
14,10-Q,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000071/0001018724-19-000071-index.htm,2019-07-26
15,8-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000069/0001018724-19-000069-index.htm,2019-07-25
