,Filings,URLs,Filing Date
0,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000069/0001326801-16-000069-index.htm,2016-04-28
1,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/0001326801-16-000067-index.htm,2016-04-28
2,10-K/A,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000063/0001326801-16-000063-index.htm,2016-04-27
3,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000060/0001326801-16-000060-index.htm,2016-04-27
4,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000061/0001326801-16-000061-index.htm,2016-04-27
5,PRE 14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000053/0001326801-16-000053-index.htm,2016-04-27
6,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000016073605/0000000000-16-073605-index.htm,2016-04-25
7,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312516462685/0001193125-16-462685-index.htm,2016-02-12
8,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000031506616005128/0000315066-16-005128-index.htm,2016-02-12
9,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000093247116010854/0000932471-16-010854-index.htm,2016-02-10
10,10-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000043/0001326801-16-000043-index.htm,2016-01-28
11,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000038/0001326801-16-000038-index.htm,2016-01-27
12,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000021545716002768/0000215457-16-002768-index.htm,2016-01-26
13,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000035/0001326801-15-000035-index.htm,2015-12-01
14,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000032/0001326801-15-000032-index.htm,2015-11-05
15,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000030/0001326801-15-000030-index.htm,2015-11-04
16,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000015050854/0000000000-15-050854-index.htm,2015-10-21
17,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312515348420/0001193125-15-348420-index.htm,2015-10-20
18,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312515312079/0001193125-15-312079-index.htm,2015-09-03
19,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000015042537/0000000000-15-042537-index.htm,2015-08-21
20,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000028/0001326801-15-000028-index.htm,2015-07-31
21,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000026/0001326801-15-000026-index.htm,2015-07-29
22,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312515251045/0001193125-15-251045-index.htm,2015-07-13
23,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000015034286/0000000000-15-034286-index.htm,2015-06-30
24,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000023/0001326801-15-000023-index.htm,2015-06-15
25,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312515188257/0001193125-15-188257-index.htm,2015-05-14
26,PX14A6G,https://www.sec.gov/Archives/edgar/data/1326801/000121465915003575/0001214659-15-003575-index.htm,2015-05-04
27,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000015024247/0000000000-15-024247-index.htm,2015-05-01
28,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000020/0001326801-15-000020-index.htm,2015-04-24
29,DEF 14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000019/0001326801-15-000019-index.htm,2015-04-24
30,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000015/0001326801-15-000015-index.htm,2015-04-23
31,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000012/0001326801-15-000012-index.htm,2015-04-22
32,10-K/A,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000010/0001326801-15-000010-index.htm,2015-02-13
33,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312515049853/0001193125-15-049853-index.htm,2015-02-13
34,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000031506615001915/0000315066-15-001915-index.htm,2015-02-13
35,SC 13G,https://www.sec.gov/Archives/edgar/data/1326801/000093247115005171/0000932471-15-005171-index.htm,2015-02-11
36,424B7,https://www.sec.gov/Archives/edgar/data/1326801/000119312515032540/0001193125-15-032540-index.htm,2015-02-04
37,SC 13G,https://www.sec.gov/Archives/edgar/data/1326801/000108636415001866/0001086364-15-001866-index.htm,2015-02-03
38,10-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000006/0001326801-15-000006-index.htm,2015-01-29
39,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000003/0001326801-15-000003-index.htm,2015-01-28
40,424B7,https://www.sec.gov/Archives/edgar/data/1326801/000119312514414071/0001193125-14-414071-index.htm,2014-11-17
41,424B7,https://www.sec.gov/Archives/edgar/data/1326801/000119312514407415/0001193125-14-407415-index.htm,2014-11-12
42,424B7,https://www.sec.gov/Archives/edgar/data/1326801/000119312514399551/0001193125-14-399551-index.htm,2014-11-06
43,424B7,https://www.sec.gov/Archives/edgar/data/1326801/000119312514388215/0001193125-14-388215-index.htm,2014-10-30
44,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000068/0001326801-14-000068-index.htm,2014-10-30
45,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000064/0001326801-14-000064-index.htm,2014-10-29
46,424B7,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000059/0001326801-14-000059-index.htm,2014-10-29
47,S-3ASR,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000055/0001326801-14-000055-index.htm,2014-10-29
48,8-K/A,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000047/0001326801-14-000047-index.htm,2014-10-28
49,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000044/0001326801-14-000044-index.htm,2014-10-28
50,D,https://www.sec.gov/Archives/edgar/data/1326801/000116840414000008/0001168404-14-000008-index.htm,2014-10-20
51,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000037/0001326801-14-000037-index.htm,2014-10-06
52,S-8,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000035/0001326801-14-000035-index.htm,2014-10-06
53,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000032/0001326801-14-000032-index.htm,2014-07-24
54,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000029/0001326801-14-000029-index.htm,2014-07-23
55,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000025/0001326801-14-000025-index.htm,2014-05-23
56,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000023/0001326801-14-000023-index.htm,2014-04-25
57,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000020/0001326801-14-000020-index.htm,2014-04-23
58,PX14A6G,https://www.sec.gov/Archives/edgar/data/1326801/000121465914002682/0001214659-14-002682-index.htm,2014-04-08
59,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000018/0001326801-14-000018-index.htm,2014-03-31
60,DEF 14A,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000016/0001326801-14-000016-index.htm,2014-03-31
61,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000012/0001326801-14-000012-index.htm,2014-03-26
62,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000010/0001326801-14-000010-index.htm,2014-02-19
