,Filings,URLs,Filing Date
0,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620616000049/0000886206-16-000049-index.htm,2016-01-22
1,SC TO-I/A,https://www.sec.gov/Archives/edgar/data/886206/000110465916090183/0001104659-16-090183-index.htm,2016-01-19
2,SC TO-I/A,https://www.sec.gov/Archives/edgar/data/886206/000110465916089575/0001104659-16-089575-index.htm,2016-01-13
3,10-Q/A,https://www.sec.gov/Archives/edgar/data/886206/000088620616000045/0000886206-16-000045-index.htm,2016-01-08
4,SC TO-I/A,https://www.sec.gov/Archives/edgar/data/886206/000110465916088688/0001104659-16-088688-index.htm,2016-01-07
5,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620616000043/0000886206-16-000043-index.htm,2016-01-07
6,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620616000041/0000886206-16-000041-index.htm,2016-01-07
7,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000039/0000886206-15-000039-index.htm,2015-12-22
8,DEF 14A,https://www.sec.gov/Archives/edgar/data/886206/000088620615000037/0000886206-15-000037-index.htm,2015-12-14
9,SC TO-I,https://www.sec.gov/Archives/edgar/data/886206/000104746915009182/0001047469-15-009182-index.htm,2015-12-14
10,SC TO-C,https://www.sec.gov/Archives/edgar/data/886206/000088620615000035/0000886206-15-000035-index.htm,2015-12-08
11,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000033/0000886206-15-000033-index.htm,2015-12-08
12,10-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000031/0000886206-15-000031-index.htm,2015-11-13
13,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000028/0000886206-15-000028-index.htm,2015-11-04
14,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000026/0000886206-15-000026-index.htm,2015-10-21
15,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620615000025/0000886206-15-000025-index.htm,2015-07-09
16,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114420415040829/0001144204-15-040829-index.htm,2015-07-02
17,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000023/0000886206-15-000023-index.htm,2015-07-01
18,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000021/0000886206-15-000021-index.htm,2015-06-18
19,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312515197132/0001193125-15-197132-index.htm,2015-05-21
20,8-K,https://www.sec.gov/Archives/edgar/data/886206/000091228215000142/0000912282-15-000142-index.htm,2015-04-21
21,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620615000019/0000886206-15-000019-index.htm,2015-04-09
22,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000017/0000886206-15-000017-index.htm,2015-04-02
23,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000015/0000886206-15-000015-index.htm,2015-04-01
24,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000013/0000886206-15-000013-index.htm,2015-03-27
25,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000011/0000886206-15-000011-index.htm,2015-03-20
26,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000081413315000035/0000814133-15-000035-index.htm,2015-03-10
27,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000081413315000024/0000814133-15-000024-index.htm,2015-02-17
28,SC 13G,https://www.sec.gov/Archives/edgar/data/886206/000139834415000774/0001398344-15-000774-index.htm,2015-02-09
29,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000125889715000773/0001258897-15-000773-index.htm,2015-02-05
30,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114420415005929/0001144204-15-005929-index.htm,2015-02-04
31,424B3,https://www.sec.gov/Archives/edgar/data/886206/000091228215000059/0000912282-15-000059-index.htm,2015-02-02
32,EFFECT,https://www.sec.gov/Archives/edgar/data/886206/999999999515000197/9999999995-15-000197-index.htm,2015-01-26 10:00:00
33,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000008/0000886206-15-000008-index.htm,2015-01-26
34,S-3/A,https://www.sec.gov/Archives/edgar/data/886206/000091228215000042/0000912282-15-000042-index.htm,2015-01-26
35,S-8,https://www.sec.gov/Archives/edgar/data/886206/000088620615000006/0000886206-15-000006-index.htm,2015-01-23
36,S-3/A,https://www.sec.gov/Archives/edgar/data/886206/000091228215000018/0000912282-15-000018-index.htm,2015-01-09
37,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620615000004/0000886206-15-000004-index.htm,2015-01-08
38,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620615000002/0000886206-15-000002-index.htm,2015-01-08
39,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000029/0000886206-14-000029-index.htm,2014-12-23
40,DEF 14A,https://www.sec.gov/Archives/edgar/data/886206/000088620614000027/0000886206-14-000027-index.htm,2014-12-22
41,S-3,https://www.sec.gov/Archives/edgar/data/886206/000088620614000025/0000886206-14-000025-index.htm,2014-11-21
42,10-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000024/0000886206-14-000024-index.htm,2014-11-14
43,SC 13D/A,https://www.sec.gov/Archives/edgar/data/886206/000119312514403533/0001193125-14-403533-index.htm,2014-11-07
44,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000021/0000886206-14-000021-index.htm,2014-11-06
45,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000019/0000886206-14-000019-index.htm,2014-10-23
46,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620614000017/0000886206-14-000017-index.htm,2014-07-10
47,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000015/0000886206-14-000015-index.htm,2014-06-27
48,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000013/0000886206-14-000013-index.htm,2014-06-19
49,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620614000012/0000886206-14-000012-index.htm,2014-04-10
50,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000010/0000886206-14-000010-index.htm,2014-04-03
51,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000008/0000886206-14-000008-index.htm,2014-03-20
52,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000119312514048104/0001193125-14-048104-index.htm,2014-02-12
53,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000116767414000664/0001167674-14-000664-index.htm,2014-02-10
54,SC 13G/A,https://www.sec.gov/Archives/edgar/data/886206/000114420414006419/0001144204-14-006419-index.htm,2014-02-06
55,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000006/0000886206-14-000006-index.htm,2014-01-28
56,10-Q,https://www.sec.gov/Archives/edgar/data/886206/000088620614000004/0000886206-14-000004-index.htm,2014-01-09
57,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620614000002/0000886206-14-000002-index.htm,2014-01-07
58,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000038/0000886206-13-000038-index.htm,2013-12-20
59,DEF 14A,https://www.sec.gov/Archives/edgar/data/886206/000088620613000036/0000886206-13-000036-index.htm,2013-12-16
60,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000034/0000886206-13-000034-index.htm,2013-11-26
61,10-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000032/0000886206-13-000032-index.htm,2013-11-14
62,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000030/0000886206-13-000030-index.htm,2013-11-07
63,8-K,https://www.sec.gov/Archives/edgar/data/886206/000088620613000028/0000886206-13-000028-index.htm,2013-10-25
