,Filings,URLs,Filing Date
0,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000014/0001403161-20-000014-index.htm,2020-03-02
1,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1403161/000110465920018159/0001104659-20-018159-index.htm,2020-02-12
2,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1403161/000031506620001293/0000315066-20-001293-index.htm,2020-02-07
3,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1403161/000083423720006734/0000834237-20-006734-index.htm,2020-02-06
4,10-Q,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000012/0001403161-20-000012-index.htm,2020-01-31
5,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000010/0001403161-20-000010-index.htm,2020-01-30
6,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000005/0001403161-20-000005-index.htm,2020-01-29
7,DEFA14A,https://www.sec.gov/Archives/edgar/data/1403161/000119312519307061/0001193125-19-307061-index.htm,2019-12-05
8,DEF 14A,https://www.sec.gov/Archives/edgar/data/1403161/000119312519307055/0001193125-19-307055-index.htm,2019-12-05
9,10-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.htm,2019-11-14
10,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000045/0001403161-19-000045-index.htm,2019-11-13
11,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000042/0001403161-19-000042-index.htm,2019-10-24
12,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000036/0001403161-19-000036-index.htm,2019-09-30
13,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000033/0001403161-19-000033-index.htm,2019-09-26
14,10-Q,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000030/0001403161-19-000030-index.htm,2019-07-26
15,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000026/0001403161-19-000026-index.htm,2019-07-23
16,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000020/0001403161-19-000020-index.htm,2019-07-17
17,CT ORDER,https://www.sec.gov/Archives/edgar/data/1403161/999999999719005422/9999999997-19-005422-index.htm,2019-06-11
18,10-Q,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000017/0001403161-19-000017-index.htm,2019-04-26
19,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000014/0001403161-19-000014-index.htm,2019-04-24
20,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000011/0001403161-19-000011-index.htm,2019-04-19
21,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000008/0001403161-19-000008-index.htm,2019-04-17
22,SC 13G,https://www.sec.gov/Archives/edgar/data/1403161/000031506619001426/0000315066-19-001426-index.htm,2019-02-13
23,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1403161/000093247119004944/0000932471-19-004944-index.htm,2019-02-11
24,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1403161/000021545719005702/0000215457-19-005702-index.htm,2019-02-06
25,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000006/0001403161-19-000006-index.htm,2019-01-31
26,10-Q,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000005/0001403161-19-000005-index.htm,2019-01-31
27,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000002/0001403161-19-000002-index.htm,2019-01-30
28,DEFA14A,https://www.sec.gov/Archives/edgar/data/1403161/000119312518343221/0001193125-18-343221-index.htm,2018-12-06
29,DEF 14A,https://www.sec.gov/Archives/edgar/data/1403161/000119312518343216/0001193125-18-343216-index.htm,2018-12-06
30,10-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/0001403161-18-000055-index.htm,2018-11-16
31,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000052/0001403161-18-000052-index.htm,2018-10-24
32,8-K/A,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000049/0001403161-18-000049-index.htm,2018-10-17
33,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000047/0001403161-18-000047-index.htm,2018-10-17
34,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000043/0001403161-18-000043-index.htm,2018-09-18
35,8-K,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000039/0001403161-18-000039-index.htm,2018-08-06
